Year,Sex,Age,AgeInterval,Lexis,Deaths
1771,m,10,5,RR,763
1771,m,15,5,RR,675
1771,m,20,5,RR,835
1771,m,25,5,RR,894
1771,m,30,5,RR,900
1771,m,35,5,RR,839
1771,m,40,5,RR,1089
1771,m,45,5,RR,1067
1771,m,50,5,RR,1227
1771,m,55,5,RR,1062
1771,m,60,5,RR,1377
1771,m,65,5,RR,1440
1771,m,70,5,RR,1368
1771,m,75,5,RR,892
1771,m,80,5,RR,700
1771,m,85,5,RR,318
1771,m,90,+,RR,150
1772,f,0,1,RR,6572
1772,f,1,2,RR,3327
1772,f,3,2,RR,1710
1772,f,5,5,RR,1881
1772,f,10,5,RR,1226
1772,f,15,5,RR,1101
1772,f,20,5,RR,1025
1772,f,25,5,RR,1138
1772,f,30,5,RR,1346
1772,f,35,5,RR,1248
1772,f,40,5,RR,1610
1772,f,45,5,RR,1455
1772,f,50,5,RR,1758
1772,f,55,5,RR,1532
1772,f,60,5,RR,2082
1772,f,65,5,RR,1996
1772,f,70,5,RR,2404
1772,f,75,5,RR,1633
1772,f,80,5,RR,1371
1772,f,85,5,RR,633
1772,f,90,+,RR,443
1772,m,0,1,RR,7541
1772,m,1,2,RR,3484
1772,m,3,2,RR,1887
1772,m,5,5,RR,2160
1772,m,10,5,RR,1478
1772,m,15,5,RR,1211
1772,m,20,5,RR,1306
1772,m,25,5,RR,1399
1772,m,30,5,RR,1466
1772,m,35,5,RR,1454
1772,m,40,5,RR,1723
1772,m,45,5,RR,1704
1772,m,50,5,RR,1955
1772,m,55,5,RR,1648
1772,m,60,5,RR,2120
1772,m,65,5,RR,1797
1772,m,70,5,RR,1922
1772,m,75,5,RR,1160
1772,m,80,5,RR,843
1772,m,85,5,RR,392
1772,m,90,+,RR,221
1773,f,0,1,RR,6938
1773,f,1,2,RR,6017
1773,f,3,2,RR,3866
1773,f,5,5,RR,4394
1773,f,10,5,RR,2257
1773,f,15,5,RR,1773
1773,f,20,5,RR,1606
1773,f,25,5,RR,1556
1773,f,30,5,RR,1752
1773,f,35,5,RR,1568
1773,f,40,5,RR,2215
1773,f,45,5,RR,2118
1773,f,50,5,RR,2550
1773,f,55,5,RR,2273
1773,f,60,5,RR,2954
1773,f,65,5,RR,2533
1773,f,70,5,RR,2989
1773,f,75,5,RR,1772
1773,f,80,5,RR,1396
1773,f,85,5,RR,660
1773,f,90,+,RR,332
1773,m,0,1,RR,7687
1773,m,1,2,RR,6143
1773,m,3,2,RR,3899
1773,m,5,5,RR,4771
1773,m,10,5,RR,2814
1773,m,15,5,RR,1784
1773,m,20,5,RR,1837
1773,m,25,5,RR,1690
1773,m,30,5,RR,1669
1773,m,35,5,RR,1599
1773,m,40,5,RR,2023
1773,m,45,5,RR,1876
1773,m,50,5,RR,2356
